Tempo Universal,Tempo Relativo,S,G,D,Snl_Rdo,Modo,Elev,Azim,Dist,X_Rampa,Y_Rampa,Z_Rampa
14:10:28:655,26.940,A,A,A,54,RADAR,0.484,1.901,7.194,4.687,-1.728,3.376
14:10:28:665,26.950,A,A,A,54,RADAR,0.484,1.901,7.195,4.688,-1.729,3.376
14:10:28:675,26.960,A,A,A,54,RADAR,0.484,1.901,7.195,4.689,-1.729,3.375
14:10:28:685,26.970,A,A,A,54,RADAR,0.484,1.901,7.195,4.689,-1.730,3.375
14:10:28:695,26.980,A,A,A,54,RADAR,0.484,1.901,7.197,4.690,-1.731,3.375
14:10:28:705,26.990,A,A,A,54,RADAR,0.484,1.901,7.198,4.690,-1.731,3.376
14:10:28:715,27.000,A,A,A,54,RADAR,0.484,1.901,7.199,4.692,-1.732,3.376
14:10:28:725,27.010,A,A,A,54,RADAR,0.484,1.901,7.199,4.692,-1.732,3.375
14:10:28:735,27.020,A,A,A,54,RADAR,0.483,1.901,7.200,4.694,-1.732,3.374
14:10:28:745,27.030,A,A,A,54,RADAR,0.483,1.901,7.202,4.696,-1.732,3.374
14:10:28:755,27.040,A,A,A,54,RADAR,0.483,1.901,7.202,4.697,-1.733,3.372
14:10:28:765,27.050,A,A,A,54,RADAR,0.483,1.901,7.202,4.697,-1.733,3.372
14:10:28:775,27.060,A,A,A,55,RADAR,0.483,1.901,7.203,4.699,-1.734,3.371
14:10:28:785,27.070,A,A,A,55,RADAR,0.483,1.901,7.204,4.700,-1.734,3.370
14:10:28:795,27.080,A,A,A,55,RADAR,0.482,1.901,7.204,4.700,-1.734,3.370
14:10:28:805,27.090,A,A,A,55,RADAR,0.482,1.901,7.206,4.702,-1.735,3.369
14:10:28:815,27.100,A,A,A,55,RADAR,0.482,1.901,7.206,4.703,-1.735,3.369
14:10:28:825,27.110,A,A,A,55,RADAR,0.482,1.901,7.207,4.704,-1.735,3.368
14:10:28:835,27.120,A,A,A,55,RADAR,0.482,1.901,7.207,4.705,-1.736,3.368
14:10:28:845,27.130,A,A,A,56,RADAR,0.482,1.901,7.207,4.706,-1.736,3.366
14:10:28:855,27.140,A,A,A,56,RADAR,0.482,1.901,7.207,4.706,-1.736,3.366
14:10:28:865,27.150,A,A,A,56,RADAR,0.481,1.901,7.209,4.708,-1.736,3.365
14:10:28:875,27.160,A,A,A,56,RADAR,0.481,1.901,7.209,4.708,-1.737,3.364
14:10:28:885,27.170,A,A,A,56,RADAR,0.481,1.901,7.210,4.710,-1.737,3.364
14:10:28:895,27.180,A,A,A,56,RADAR,0.481,1.901,7.210,4.711,-1.737,3.363
14:10:28:905,27.190,A,A,A,56,RADAR,0.481,1.901,7.213,4.713,-1.738,3.363
14:10:28:915,27.200,A,A,A,55,RADAR,0.481,1.901,7.214,4.715,-1.739,3.363
14:10:28:925,27.210,A,A,A,55,RADAR,0.480,1.901,7.214,4.715,-1.739,3.362
14:10:28:935,27.220,A,A,A,55,RADAR,0.480,1.901,7.215,4.716,-1.739,3.361
14:10:28:945,27.230,A,A,A,55,RADAR,0.480,1.901,7.215,4.717,-1.740,3.360
14:10:28:955,27.240,A,A,A,55,RADAR,0.480,1.901,7.216,4.718,-1.740,3.359
14:10:28:965,27.250,A,A,A,55,RADAR,0.480,1.901,7.217,4.719,-1.741,3.359
14:10:28:975,27.260,A,A,A,55,RADAR,0.480,1.901,7.219,4.722,-1.741,3.358
14:10:28:985,27.270,A,A,A,55,RADAR,0.479,1.901,7.219,4.722,-1.742,3.357
14:10:28:995,27.280,A,A,A,55,RADAR,0.479,1.901,7.220,4.724,-1.742,3.356
14:10:29:005,27.290,A,A,A,55,RADAR,0.479,1.901,7.221,4.725,-1.742,3.356
14:10:29:015,27.300,A,A,A,55,RADAR,0.479,1.901,7.221,4.726,-1.743,3.355
14:10:29:025,27.310,A,A,A,55,RADAR,0.479,1.901,7.222,4.727,-1.743,3.354
14:10:29:035,27.320,A,A,A,55,RADAR,0.479,1.901,7.223,4.729,-1.744,3.354
14:10:29:045,27.330,A,A,A,55,RADAR,0.478,1.901,7.223,4.729,-1.744,3.353
14:10:29:055,27.340,A,A,A,56,RADAR,0.478,1.901,7.225,4.731,-1.744,3.353
14:10:29:065,27.350,A,A,A,56,RADAR,0.478,1.901,7.225,4.731,-1.745,3.352
14:10:29:075,27.360,A,A,A,56,RADAR,0.478,1.901,7.226,4.732,-1.745,3.352
14:10:29:085,27.370,A,A,A,56,RADAR,0.478,1.901,7.227,4.734,-1.745,3.352
14:10:29:095,27.380,A,A,A,56,RADAR,0.478,1.901,7.227,4.734,-1.746,3.352
14:10:29:105,27.390,A,A,A,56,RADAR,0.478,1.901,7.226,4.733,-1.745,3.351
14:10:29:115,27.400,A,A,A,56,RADAR,0.478,1.901,7.227,4.734,-1.745,3.351
14:10:29:125,27.410,A,A,A,57,RADAR,0.478,1.901,7.229,4.736,-1.746,3.352
14:10:29:135,27.420,A,A,A,57,RADAR,0.478,1.901,7.229,4.736,-1.746,3.351
14:10:29:145,27.430,A,A,A,57,RADAR,0.478,1.901,7.231,4.738,-1.747,3.351
14:10:29:155,27.440,A,A,A,57,RADAR,0.477,1.901,7.231,4.739,-1.747,3.350
14:10:29:165,27.450,A,A,A,57,RADAR,0.477,1.901,7.231,4.739,-1.747,3.348
14:10:29:175,27.460,A,A,A,57,RADAR,0.477,1.901,7.232,4.741,-1.748,3.348
14:10:29:185,27.470,A,A,A,56,RADAR,0.477,1.901,7.233,4.743,-1.749,3.347
14:10:29:195,27.480,A,A,A,56,RADAR,0.477,1.901,7.234,4.744,-1.749,3.347
14:10:29:205,27.490,A,A,A,56,RADAR,0.477,1.901,7.235,4.744,-1.749,3.347
14:10:29:215,27.500,A,A,A,56,RADAR,0.477,1.901,7.235,4.745,-1.750,3.346
14:10:29:225,27.510,A,A,A,56,RADAR,0.476,1.901,7.235,4.745,-1.750,3.346
14:10:29:235,27.520,A,A,A,56,RADAR,0.476,1.901,7.237,4.747,-1.750,3.346
14:10:29:245,27.530,A,A,A,56,RADAR,0.476,1.901,7.237,4.748,-1.751,3.345
14:10:29:255,27.540,A,A,A,55,RADAR,0.476,1.901,7.239,4.750,-1.751,3.345
14:10:29:265,27.550,A,A,A,55,RADAR,0.476,1.901,7.239,4.750,-1.752,3.344
14:10:29:275,27.560,A,A,A,55,RADAR,0.476,1.901,7.240,4.751,-1.752,3.343
14:10:29:285,27.570,A,A,A,55,RADAR,0.476,1.902,7.241,4.752,-1.753,3.343
14:10:29:295,27.580,A,A,A,55,RADAR,0.476,1.902,7.242,4.753,-1.753,3.343
14:10:29:305,27.590,A,A,A,55,RADAR,0.475,1.902,7.242,4.754,-1.753,3.343
14:10:29:315,27.600,A,A,A,55,RADAR,0.475,1.902,7.244,4.756,-1.754,3.343
14:10:29:325,27.610,A,A,A,56,RADAR,0.475,1.902,7.244,4.756,-1.754,3.342
14:10:29:335,27.620,A,A,A,56,RADAR,0.475,1.902,7.244,4.757,-1.754,3.342
14:10:29:345,27.630,A,A,A,56,RADAR,0.475,1.902,7.244,4.757,-1.754,3.341
14:10:29:355,27.640,A,A,A,56,RADAR,0.475,1.902,7.245,4.758,-1.755,3.340
14:10:29:365,27.650,A,A,A,56,RADAR,0.475,1.902,7.245,4.759,-1.755,3.339
14:10:29:375,27.660,A,A,A,56,RADAR,0.475,1.902,7.247,4.761,-1.756,3.340
14:10:29:385,27.670,A,A,A,56,RADAR,0.475,1.902,7.247,4.761,-1.756,3.339
14:10:29:395,27.680,A,A,A,55,RADAR,0.474,1.902,7.248,4.762,-1.756,3.339
14:10:29:405,27.690,A,A,A,55,RADAR,0.474,1.901,7.249,4.764,-1.756,3.338
14:10:29:415,27.700,A,A,A,55,RADAR,0.474,1.901,7.249,4.764,-1.756,3.337
14:10:29:425,27.710,A,A,A,55,RADAR,0.474,1.902,7.249,4.765,-1.757,3.335
14:10:29:435,27.720,A,A,A,55,RADAR,0.474,1.902,7.250,4.767,-1.758,3.335
14:10:29:445,27.730,A,A,A,55,RADAR,0.473,1.902,7.252,4.769,-1.758,3.334
14:10:29:455,27.740,A,A,A,55,RADAR,0.473,1.902,7.253,4.769,-1.759,3.335
14:10:29:465,27.750,A,A,A,54,RADAR,0.474,1.902,7.254,4.770,-1.759,3.336
14:10:29:475,27.760,A,A,A,54,RADAR,0.474,1.902,7.254,4.770,-1.759,3.336
14:10:29:485,27.770,A,A,A,54,RADAR,0.474,1.901,7.255,4.770,-1.759,3.337
14:10:29:495,27.780,A,A,A,54,RADAR,0.474,1.901,7.255,4.771,-1.758,3.338
14:10:29:505,27.790,A,A,A,54,RADAR,0.474,1.901,7.256,4.771,-1.759,3.339
14:10:29:515,27.800,A,A,A,54,RADAR,0.474,1.901,7.258,4.773,-1.759,3.339
14:10:29:525,27.810,A,A,A,54,RADAR,0.474,1.901,7.257,4.773,-1.759,3.338
14:10:29:535,27.820,A,A,A,54,RADAR,0.473,1.901,7.255,4.772,-1.759,3.334
14:10:29:545,27.830,A,A,A,54,RADAR,0.473,1.901,7.257,4.775,-1.760,3.334
14:10:29:555,27.840,A,A,A,54,RADAR,0.473,1.901,7.258,4.776,-1.761,3.331
14:10:29:565,27.850,A,A,A,54,RADAR,0.472,1.901,7.259,4.778,-1.761,3.331
14:10:29:575,27.860,A,A,A,54,RADAR,0.472,1.901,7.262,4.781,-1.762,3.330
14:10:29:585,27.870,A,A,A,54,RADAR,0.472,1.901,7.262,4.782,-1.762,3.329
14:10:29:595,27.880,A,A,A,54,RADAR,0.472,1.901,7.265,4.785,-1.764,3.330
14:10:29:605,27.890,A,A,A,54,RADAR,0.472,1.901,7.264,4.784,-1.763,3.329
14:10:29:615,27.900,A,A,A,54,RADAR,0.472,1.901,7.264,4.785,-1.763,3.329
14:10:29:625,27.910,A,A,A,54,RADAR,0.472,1.901,7.266,4.786,-1.764,3.329
14:10:29:635,27.920,A,A,A,54,RADAR,0.472,1.901,7.265,4.786,-1.764,3.328
14:10:29:645,27.930,A,A,A,54,RADAR,0.471,1.901,7.264,4.785,-1.764,3.326
14:10:29:655,27.940,A,A,A,54,RADAR,0.471,1.901,7.265,4.786,-1.764,3.325
14:10:29:665,27.950,A,A,A,54,RADAR,0.471,1.901,7.265,4.788,-1.764,3.323
14:10:29:675,27.960,A,A,A,54,RADAR,0.471,1.901,7.267,4.791,-1.765,3.323
14:10:29:685,27.970,A,A,A,54,RADAR,0.470,1.901,7.268,4.792,-1.766,3.320
14:10:29:695,27.980,A,A,A,54,RADAR,0.470,1.901,7.267,4.792,-1.766,3.319
14:10:29:705,27.990,A,A,A,54,RADAR,0.470,1.901,7.268,4.793,-1.766,3.318
14:10:29:715,28.000,A,A,A,54,RADAR,0.470,1.901,7.271,4.796,-1.767,3.319
14:10:29:725,28.010,A,A,A,54,RADAR,0.470,1.901,7.274,4.799,-1.768,3.321
14:10:29:735,28.020,A,A,A,52,RADAR,0.470,1.901,7.274,4.799,-1.768,3.321
14:10:29:745,28.030,A,A,A,52,RADAR,0.470,1.901,7.275,4.800,-1.769,3.320
14:10:29:755,28.040,A,A,A,52,RADAR,0.470,1.901,7.275,4.801,-1.769,3.319
14:10:29:765,28.050,A,A,A,52,RADAR,0.469,1.901,7.275,4.801,-1.769,3.318
14:10:29:775,28.060,A,A,A,52,RADAR,0.469,1.901,7.277,4.804,-1.770,3.317
14:10:29:785,28.070,A,A,A,52,RADAR,0.469,1.901,7.277,4.805,-1.770,3.316
14:10:29:795,28.080,A,A,A,52,RADAR,0.468,1.901,7.278,4.806,-1.771,3.313
14:10:29:805,28.090,A,A,A,53,RADAR,0.468,1.901,7.279,4.808,-1.771,3.312
14:10:29:815,28.100,A,A,A,53,RADAR,0.468,1.901,7.280,4.810,-1.772,3.310
14:10:29:825,28.110,A,A,A,53,RADAR,0.468,1.901,7.280,4.811,-1.772,3.309
14:10:29:835,28.120,A,A,A,53,RADAR,0.467,1.901,7.281,4.812,-1.773,3.308
14:10:29:845,28.130,A,A,A,53,RADAR,0.467,1.901,7.282,4.813,-1.773,3.308
14:10:29:855,28.140,A,A,A,53,RADAR,0.467,1.901,7.282,4.813,-1.773,3.308
14:10:29:865,28.150,A,A,A,53,RADAR,0.467,1.901,7.283,4.814,-1.774,3.308
14:10:29:875,28.160,A,A,A,54,RADAR,0.467,1.901,7.284,4.815,-1.774,3.308
14:10:29:885,28.170,A,A,A,54,RADAR,0.467,1.902,7.285,4.816,-1.774,3.309
14:10:29:895,28.180,A,A,A,54,RADAR,0.467,1.902,7.285,4.816,-1.774,3.309
14:10:29:905,28.190,A,A,A,54,RADAR,0.467,1.902,7.285,4.816,-1.775,3.309
14:10:29:915,28.200,A,A,A,54,RADAR,0.467,1.902,7.286,4.817,-1.775,3.309
14:10:29:925,28.210,A,A,A,54,RADAR,0.467,1.902,7.287,4.818,-1.775,3.309
14:10:29:935,28.220,A,A,A,54,RADAR,0.467,1.902,7.287,4.818,-1.775,3.308
14:10:29:945,28.230,A,A,A,54,RADAR,0.467,1.901,7.289,4.820,-1.776,3.308
14:10:29:955,28.240,A,A,A,54,RADAR,0.467,1.901,7.289,4.821,-1.776,3.308
14:10:29:965,28.250,A,A,A,54,RADAR,0.467,1.901,7.290,4.822,-1.776,3.306
14:10:29:975,28.260,A,A,A,54,RADAR,0.466,1.901,7.290,4.823,-1.777,3.305
14:10:29:985,28.270,A,A,A,54,RADAR,0.466,1.902,7.291,4.825,-1.778,3.303
14:10:29:995,28.280,A,A,A,54,RADAR,0.466,1.902,7.292,4.826,-1.778,3.302
14:10:30:005,28.290,A,A,A,54,RADAR,0.465,1.902,7.293,4.828,-1.779,3.301
14:10:30:015,28.300,A,A,A,54,RADAR,0.465,1.902,7.292,4.827,-1.779,3.299
14:10:30:025,28.310,A,A,A,54,RADAR,0.465,1.902,7.293,4.829,-1.780,3.298
14:10:30:035,28.320,A,A,A,54,RADAR,0.465,1.902,7.294,4.830,-1.780,3.298
14:10:30:045,28.330,A,A,A,54,RADAR,0.465,1.902,7.295,4.832,-1.780,3.297
14:10:30:055,28.340,A,A,A,54,RADAR,0.465,1.902,7.295,4.833,-1.781,3.296
14:10:30:065,28.350,A,A,A,54,RADAR,0.464,1.902,7.296,4.834,-1.781,3.295
14:10:30:075,28.360,A,A,A,54,RADAR,0.464,1.902,7.298,4.835,-1.782,3.296
14:10:30:085,28.370,A,A,A,54,RADAR,0.464,1.902,7.299,4.836,-1.783,3.296
14:10:30:095,28.380,A,A,A,54,RADAR,0.464,1.902,7.299,4.836,-1.784,3.296
14:10:30:105,28.390,A,A,A,54,RADAR,0.464,1.902,7.299,4.836,-1.784,3.296
14:10:30:115,28.400,A,A,A,54,RADAR,0.464,1.902,7.299,4.836,-1.784,3.296
14:10:30:125,28.410,A,A,A,54,RADAR,0.464,1.902,7.299,4.837,-1.784,3.296
14:10:30:135,28.420,A,A,A,54,RADAR,0.464,1.902,7.300,4.838,-1.784,3.295
14:10:30:145,28.430,A,A,A,54,RADAR,0.464,1.902,7.302,4.839,-1.784,3.295
14:10:30:155,28.440,A,A,A,54,RADAR,0.464,1.902,7.301,4.840,-1.785,3.293
14:10:30:165,28.450,A,A,A,54,RADAR,0.464,1.902,7.302,4.841,-1.785,3.293
14:10:30:175,28.460,A,A,A,54,RADAR,0.463,1.902,7.304,4.843,-1.786,3.293
14:10:30:185,28.470,A,A,A,54,RADAR,0.463,1.902,7.306,4.845,-1.787,3.292
14:10:30:195,28.480,A,A,A,54,RADAR,0.463,1.902,7.305,4.845,-1.787,3.291
14:10:30:205,28.490,A,A,A,54,RADAR,0.463,1.902,7.306,4.846,-1.788,3.290
14:10:30:215,28.500,A,A,A,54,RADAR,0.463,1.902,7.306,4.846,-1.788,3.290
14:10:30:225,28.510,A,A,A,54,RADAR,0.463,1.902,7.307,4.847,-1.789,3.289
14:10:30:235,28.520,A,A,A,54,RADAR,0.463,1.902,7.307,4.848,-1.789,3.288
14:10:30:245,28.530,A,A,A,54,RADAR,0.462,1.902,7.308,4.850,-1.789,3.287
14:10:30:255,28.540,A,A,A,54,RADAR,0.462,1.902,7.309,4.850,-1.789,3.287
14:10:30:265,28.550,A,A,A,54,RADAR,0.462,1.902,7.310,4.852,-1.789,3.287
14:10:30:275,28.560,A,A,A,54,RADAR,0.462,1.902,7.310,4.852,-1.790,3.287
14:10:30:285,28.570,A,A,A,54,RADAR,0.462,1.902,7.310,4.852,-1.790,3.286
14:10:30:295,28.580,A,A,A,54,RADAR,0.462,1.902,7.310,4.852,-1.790,3.285
14:10:30:305,28.590,A,A,A,54,RADAR,0.462,1.902,7.310,4.853,-1.790,3.285
14:10:30:315,28.600,A,A,A,54,RADAR,0.462,1.902,7.312,4.855,-1.791,3.285
14:10:30:325,28.610,A,A,A,54,RADAR,0.462,1.902,7.314,4.857,-1.792,3.285
14:10:30:335,28.620,A,A,A,54,RADAR,0.461,1.902,7.316,4.859,-1.793,3.284
14:10:30:345,28.630,A,A,A,54,RADAR,0.461,1.902,7.316,4.859,-1.793,3.284
14:10:30:355,28.640,A,A,A,53,RADAR,0.461,1.902,7.313,4.856,-1.793,3.282
14:10:30:365,28.650,A,A,A,53,RADAR,0.461,1.902,7.313,4.857,-1.793,3.282
14:10:30:375,28.660,A,A,A,53,RADAR,0.461,1.902,7.317,4.860,-1.795,3.284
14:10:30:385,28.670,A,A,A,53,RADAR,0.461,1.902,7.317,4.860,-1.795,3.284
14:10:30:395,28.680,A,A,A,53,RADAR,0.461,1.902,7.318,4.861,-1.796,3.284
14:10:30:405,28.690,A,A,A,53,RADAR,0.461,1.902,7.320,4.863,-1.796,3.284
14:10:30:415,28.700,A,A,A,53,RADAR,0.460,1.902,7.320,4.865,-1.797,3.281
14:10:30:425,28.710,A,A,A,53,RADAR,0.460,1.902,7.321,4.866,-1.798,3.279
14:10:30:435,28.720,A,A,A,53,RADAR,0.460,1.902,7.322,4.868,-1.799,3.276
14:10:30:445,28.730,A,A,A,53,RADAR,0.460,1.902,7.323,4.870,-1.799,3.275
14:10:30:455,28.740,A,A,A,53,RADAR,0.459,1.902,7.323,4.870,-1.799,3.274
14:10:30:465,28.750,A,A,A,53,RADAR,0.459,1.902,7.323,4.871,-1.799,3.272
14:10:30:475,28.760,A,A,A,53,RADAR,0.459,1.902,7.323,4.872,-1.800,3.272
14:10:30:485,28.770,A,A,A,52,RADAR,0.459,1.902,7.325,4.874,-1.800,3.271
14:10:30:495,28.780,A,A,A,52,RADAR,0.459,1.902,7.325,4.874,-1.800,3.271
14:10:30:505,28.790,A,A,A,52,RADAR,0.459,1.902,7.324,4.874,-1.800,3.270
14:10:30:515,28.800,A,A,A,52,RADAR,0.459,1.902,7.325,4.875,-1.801,3.270
14:10:30:525,28.810,A,A,A,52,RADAR,0.458,1.902,7.328,4.878,-1.801,3.271
14:10:30:535,28.820,A,A,A,52,RADAR,0.458,1.902,7.330,4.879,-1.802,3.271
14:10:30:545,28.830,A,A,A,52,RADAR,0.458,1.902,7.330,4.880,-1.803,3.270
14:10:30:555,28.840,A,A,A,52,RADAR,0.458,1.902,7.329,4.880,-1.802,3.269
14:10:30:565,28.850,A,A,A,52,RADAR,0.458,1.902,7.327,4.878,-1.802,3.268
14:10:30:575,28.860,A,A,A,52,RADAR,0.458,1.902,7.329,4.880,-1.803,3.268
14:10:30:585,28.870,A,A,A,52,RADAR,0.458,1.902,7.330,4.881,-1.803,3.269
14:10:30:595,28.880,A,A,A,52,RADAR,0.458,1.903,7.332,4.883,-1.804,3.269
14:10:30:605,28.890,A,A,A,52,RADAR,0.458,1.903,7.334,4.884,-1.805,3.270
14:10:30:615,28.900,A,A,A,52,RADAR,0.458,1.903,7.334,4.885,-1.806,3.269
14:10:30:625,28.910,A,A,A,52,RADAR,0.458,1.903,7.334,4.884,-1.806,3.269
14:10:30:635,28.920,A,A,A,52,RADAR,0.458,1.903,7.336,4.886,-1.807,3.269
14:10:30:645,28.930,A,A,A,52,RADAR,0.458,1.903,7.336,4.886,-1.807,3.268
14:10:30:655,28.940,A,A,A,52,RADAR,0.457,1.903,7.338,4.888,-1.808,3.268
14:10:30:665,28.950,A,A,A,52,RADAR,0.457,1.903,7.338,4.888,-1.808,3.268
14:10:30:675,28.960,A,A,A,52,RADAR,0.457,1.903,7.338,4.889,-1.808,3.267
14:10:30:685,28.970,A,A,A,52,RADAR,0.457,1.903,7.339,4.890,-1.808,3.267
14:10:30:695,28.980,A,A,A,52,RADAR,0.457,1.903,7.339,4.891,-1.809,3.265
14:10:30:705,28.990,A,A,A,52,RADAR,0.457,1.903,7.340,4.892,-1.809,3.265
14:10:30:715,29.000,A,A,A,52,RADAR,0.456,1.903,7.339,4.892,-1.809,3.263
14:10:30:725,29.010,A,A,A,52,RADAR,0.456,1.903,7.340,4.893,-1.810,3.262
14:10:30:735,29.020,A,A,A,52,RADAR,0.456,1.903,7.342,4.896,-1.810,3.262
14:10:30:745,29.030,A,A,A,52,RADAR,0.456,1.903,7.344,4.899,-1.811,3.260
14:10:30:755,29.040,A,A,A,52,RADAR,0.456,1.903,7.344,4.899,-1.811,3.260
14:10:30:765,29.050,A,A,A,52,RADAR,0.455,1.903,7.344,4.899,-1.811,3.258
14:10:30:775,29.060,A,A,A,52,RADAR,0.455,1.903,7.345,4.901,-1.811,3.258
14:10:30:785,29.070,A,A,A,52,RADAR,0.455,1.902,7.344,4.901,-1.810,3.256
14:10:30:795,29.080,A,A,A,52,RADAR,0.455,1.902,7.344,4.902,-1.810,3.256
14:10:30:805,29.090,A,A,A,52,RADAR,0.455,1.902,7.348,4.905,-1.811,3.257
14:10:30:815,29.100,A,A,A,52,RADAR,0.455,1.902,7.347,4.905,-1.811,3.256
14:10:30:825,29.110,A,A,A,51,RADAR,0.455,1.902,7.349,4.907,-1.812,3.256
14:10:30:835,29.120,A,A,A,51,RADAR,0.455,1.902,7.349,4.907,-1.812,3.255
14:10:30:845,29.130,A,A,A,51,RADAR,0.454,1.902,7.349,4.908,-1.813,3.253
14:10:30:855,29.140,A,A,A,51,RADAR,0.454,1.902,7.351,4.910,-1.813,3.253
14:10:30:865,29.150,A,A,A,51,RADAR,0.454,1.902,7.351,4.910,-1.813,3.252
14:10:30:875,29.160,A,A,A,51,RADAR,0.454,1.902,7.353,4.913,-1.814,3.251
14:10:30:885,29.170,A,A,A,51,RADAR,0.454,1.902,7.353,4.914,-1.814,3.250
14:10:30:895,29.180,A,A,A,52,RADAR,0.453,1.902,7.354,4.916,-1.815,3.248
14:10:30:905,29.190,A,A,A,52,RADAR,0.453,1.902,7.354,4.916,-1.815,3.247
14:10:30:915,29.200,A,A,A,52,RADAR,0.453,1.902,7.354,4.917,-1.815,3.245
14:10:30:925,29.210,A,A,A,52,RADAR,0.453,1.902,7.354,4.917,-1.815,3.245
14:10:30:935,29.220,A,A,A,52,RADAR,0.453,1.902,7.356,4.919,-1.815,3.245
14:10:30:945,29.230,A,A,A,52,RADAR,0.453,1.902,7.356,4.920,-1.815,3.244
14:10:30:955,29.240,A,A,A,52,RADAR,0.452,1.902,7.357,4.921,-1.816,3.244
14:10:30:965,29.250,A,A,A,53,RADAR,0.452,1.902,7.358,4.922,-1.816,3.244
14:10:30:975,29.260,A,A,A,53,RADAR,0.452,1.902,7.359,4.923,-1.816,3.243
14:10:30:985,29.270,A,A,A,53,RADAR,0.452,1.902,7.359,4.923,-1.816,3.243
14:10:30:995,29.280,A,A,A,53,RADAR,0.452,1.902,7.360,4.925,-1.817,3.242
14:10:31:005,29.290,A,A,A,53,RADAR,0.452,1.902,7.360,4.925,-1.817,3.242
14:10:31:015,29.300,A,A,A,53,RADAR,0.452,1.902,7.361,4.926,-1.817,3.241
14:10:31:025,29.310,A,A,A,53,RADAR,0.451,1.902,7.360,4.927,-1.817,3.238
14:10:31:035,29.320,A,A,A,52,RADAR,0.451,1.902,7.361,4.928,-1.817,3.238
14:10:31:045,29.330,A,A,A,52,RADAR,0.451,1.902,7.362,4.929,-1.818,3.236
14:10:31:055,29.340,A,A,A,52,RADAR,0.451,1.902,7.362,4.930,-1.818,3.236
14:10:31:065,29.350,A,A,A,52,RADAR,0.451,1.902,7.364,4.931,-1.819,3.236
14:10:31:075,29.360,A,A,A,52,RADAR,0.451,1.902,7.364,4.932,-1.820,3.236
14:10:31:085,29.370,A,A,A,52,RADAR,0.451,1.902,7.366,4.933,-1.820,3.237
14:10:31:095,29.380,A,A,A,52,RADAR,0.451,1.902,7.365,4.932,-1.820,3.237
14:10:31:105,29.390,A,A,A,52,RADAR,0.451,1.902,7.366,4.933,-1.820,3.237
14:10:31:115,29.400,A,A,A,52,RADAR,0.451,1.902,7.367,4.935,-1.820,3.238
14:10:31:125,29.410,A,A,A,52,RADAR,0.451,1.902,7.367,4.936,-1.819,3.236
14:10:31:135,29.420,A,A,A,52,RADAR,0.450,1.902,7.368,4.937,-1.819,3.235
14:10:31:145,29.430,A,A,A,52,RADAR,0.450,1.902,7.369,4.938,-1.819,3.234
14:10:31:155,29.440,A,A,A,52,RADAR,0.450,1.902,7.370,4.941,-1.820,3.231
14:10:31:165,29.450,A,A,A,52,RADAR,0.450,1.902,7.370,4.942,-1.820,3.230
14:10:31:175,29.460,A,A,A,51,RADAR,0.449,1.902,7.371,4.943,-1.821,3.229
14:10:31:185,29.470,A,A,A,51,RADAR,0.449,1.902,7.369,4.941,-1.821,3.228
14:10:31:195,29.480,A,A,A,51,RADAR,0.449,1.902,7.371,4.943,-1.822,3.228
14:10:31:205,29.490,A,A,A,51,RADAR,0.449,1.902,7.372,4.944,-1.822,3.229
14:10:31:215,29.500,A,A,A,51,RADAR,0.449,1.902,7.371,4.944,-1.821,3.227
14:10:31:225,29.510,A,A,A,51,RADAR,0.449,1.902,7.375,4.948,-1.823,3.228
14:10:31:235,29.520,A,A,A,51,RADAR,0.448,1.902,7.372,4.947,-1.822,3.224
14:10:31:245,29.530,A,A,A,51,RADAR,0.448,1.902,7.373,4.948,-1.823,3.223
14:10:31:255,29.540,A,A,A,51,RADAR,0.448,1.902,7.376,4.951,-1.825,3.224
14:10:31:265,29.550,A,A,A,51,RADAR,0.448,1.902,7.375,4.950,-1.825,3.223
14:10:31:275,29.560,A,A,A,51,RADAR,0.448,1.902,7.374,4.949,-1.824,3.222
14:10:31:285,29.570,A,A,A,51,RADAR,0.448,1.902,7.377,4.951,-1.825,3.223
14:10:31:295,29.580,A,A,A,51,RADAR,0.448,1.902,7.378,4.952,-1.825,3.223
14:10:31:305,29.590,A,A,A,49,RADAR,0.448,1.902,7.376,4.951,-1.825,3.221
14:10:31:315,29.600,A,A,A,49,RADAR,0.448,1.902,7.378,4.953,-1.826,3.222
14:10:31:324,29.610,A,A,A,49,RADAR,0.447,1.902,7.381,4.957,-1.827,3.221
14:10:31:335,29.620,A,A,A,49,RADAR,0.447,1.902,7.381,4.957,-1.828,3.220
14:10:31:345,29.630,A,A,A,49,RADAR,0.447,1.902,7.382,4.959,-1.829,3.218
14:10:31:355,29.640,A,A,A,49,RADAR,0.447,1.902,7.383,4.960,-1.830,3.217
14:10:31:365,29.650,A,A,A,49,RADAR,0.446,1.902,7.385,4.962,-1.831,3.216
14:10:31:375,29.660,A,A,A,49,RADAR,0.446,1.902,7.384,4.961,-1.831,3.215
14:10:31:385,29.670,A,A,A,49,RADAR,0.446,1.903,7.384,4.962,-1.831,3.216
14:10:31:395,29.680,A,A,A,49,RADAR,0.446,1.903,7.386,4.963,-1.832,3.216
14:10:31:405,29.690,A,A,A,49,RADAR,0.446,1.902,7.387,4.964,-1.832,3.216
14:10:31:415,29.700,A,A,A,49,RADAR,0.446,1.902,7.386,4.964,-1.832,3.216
14:10:31:425,29.710,A,A,A,49,RADAR,0.446,1.902,7.387,4.965,-1.832,3.215
